@relation R_data_frame

@attribute nonecholoc numeric
@attribute loc numeric
@attribute nmethods numeric
@attribute ccomdeep numeric
@attribute ccom numeric
@attribute nest numeric
@attribute hvol numeric
@attribute nIncomingCalls numeric
@attribute nIncomingCallsUniq numeric
@attribute nOutgoingInternCalls numeric
@attribute nOutgoingExternFlsCalled numeric
@attribute nOutgoingExternFlsCalledUniq numeric
@attribute nOutgoingExternCallsUniq numeric
@attribute IsVulnerable {no,yes}

@data
68,68,12,12,12,3,518.740935,1154,577,5,1112,1049,26,no
13,13,6,1,1,0,44.72832,560,557,1,1018,1018,1,no
60,60,12,6,6,1,306.512829,1504,817,4,1019,1018,2,no
25,25,3,4,4,3,159.64673,624,621,3,1142,1098,9,no
99,99,10,15,15,4,736.122306,187,151,2,37,27,16,no
225,225,37,25,25,5,1868.553762,2988,644,9,1136,1067,45,no
206,206,17,46,46,6,2011.18191,3870,753,2,1192,1070,102,no
161,161,14,25,25,3,1966.495115,877,753,7,1237,1117,112,no
113,113,23,13,13,4,834.877454,1094,900,13,229,170,36,no
41,41,12,1,1,0,171.614907,900,804,3,44,39,4,no
74,74,4,12,12,4,618.099635,195,188,2,190,149,28,no
386,386,19,43,43,4,5565.554922,633,616,3,102,51,250,no
9,9,1,1,1,0,33.271065,555,555,1,1018,1018,1,no
125,125,15,20,20,4,1108.652739,420,356,5,161,129,32,no
140,140,24,13,13,4,1048.038537,2364,1033,8,1071,1030,17,no
371,372,44,65,65,6,4227.792555,6400,844,5,1222,1079,144,no
4,4,1,1,1,0,1.386294,36,36,0,0,0,0,no
27,27,4,7,7,1,141.660667,673,660,1,1030,1019,8,no
20,20,5,2,2,1,41.446532,676,663,1,1018,1018,1,no
84,84,10,13,13,2,533.944322,1265,679,4,1158,1137,6,no
23,23,3,5,5,3,126.610876,558,557,2,1021,1019,3,no
99,99,10,20,20,3,949.887938,567,555,7,1071,1027,15,no
6,6,1,1,1,0,10.750557,1,1,0,0,0,0,no
24,24,7,1,1,0,88.722839,564,558,1,7,7,1,no
17,17,3,2,2,1,68.615491,559,556,2,1020,1018,2,no
17,17,3,2,2,1,78.533456,559,556,2,1021,1019,3,no
7,7,1,1,1,0,15.567281,1,1,0,0,0,0,no
58,58,7,11,11,3,516.361262,569,556,6,1036,1022,11,no
133,133,15,18,18,2,1380.760954,1606,922,7,1058,1037,12,no
131,131,15,19,19,2,1268.114145,1202,618,11,1118,1084,15,no
43,43,3,10,10,3,483.243208,107,103,0,8,5,8,no
2,2,0,1,1,0,0,0,0,0,0,0,0,no
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
45,45,5,10,10,4,598.027139,108,103,0,9,6,11,no
25,25,0,7,7,3,181.271028,0,0,0,9,5,13,no
26,26,0,6,6,4,204.071843,0,0,0,11,6,15,no
2,2,0,1,1,0,0,0,0,0,0,0,0,no
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
44,44,6,7,7,2,277.317149,111,105,0,29,25,16,no
2,2,0,1,1,0,0,0,0,0,0,0,0,no
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
57,57,4,9,9,2,594.358623,108,103,0,11,8,17,no
22,22,1,2,2,1,72.508411,1,1,0,10,10,15,no
5,5,0,1,1,0,0,0,0,0,0,0,0,no
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
109,109,8,22,22,5,1124.100374,112,105,0,35,34,16,no
31,31,1,2,2,1,119.894764,1,1,0,30,28,25,no
2,2,0,1,1,0,0,0,0,0,0,0,0,no
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
45,45,3,6,6,1,586.226023,107,103,0,13,5,17,no
2,2,0,1,1,0,0,0,0,0,0,0,0,no
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
50,50,2,7,7,2,488.160463,106,103,0,13,5,18,no
2,2,0,1,1,0,0,0,0,0,0,0,0,no
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
45,45,5,5,5,2,306.928023,108,102,1,137,134,8,no
2,2,0,1,1,0,0,0,0,0,0,0,0,no
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
59,59,4,7,7,2,507.127332,109,105,2,17,13,24,no
159,159,0,24,24,3,2094.110066,0,0,0,165,128,99,no
18,18,1,3,3,2,79.51343,0,0,0,13,6,11,no
195,195,2,27,27,4,1944.369088,74,73,0,66,53,103,no
83,83,0,1,1,0,0,0,0,0,0,0,0,no
70,70,5,4,4,1,851.055407,4,2,1,32,23,14,no
224,224,5,25,25,6,2351.38879,5,1,0,35,29,82,no
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
92,92,2,18,18,3,1039.473411,106,103,0,57,43,29,no
94,117,0,20,20,4,1244.233238,0,0,0,96,59,57,no
8,8,0,1,1,0,0,0,0,0,0,0,0,no
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
88,88,4,23,23,4,1429.381481,109,106,1,38,31,47,no
8,8,0,1,1,0,0,0,0,0,0,0,0,no
8,8,0,2,2,1,37.352818,0,0,0,25,25,8,no
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
58,58,4,13,13,2,518.740935,109,105,0,23,21,11,no
2,2,0,1,1,0,0,0,0,0,0,0,0,no
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
37,37,5,6,6,2,400.134478,109,103,0,10,10,8,no
3,3,0,1,1,0,0,0,0,0,0,0,0,no
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
99,99,4,19,19,2,1238.288108,697,685,2,67,55,48,no
38,38,3,8,8,2,327.382754,107,103,0,9,8,7,no
5,5,1,1,1,0,4.394449,0,0,0,2,2,1,no
4,4,0,1,1,0,0,0,0,0,0,0,0,no
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
30,30,7,4,4,3,133.581958,13,7,0,22,19,7,no
108,108,5,19,19,3,1347.204265,109,103,0,40,33,23,no
35,35,1,2,2,1,231.229741,1,1,0,33,31,40,no
21,21,0,1,1,0,0,0,0,0,0,0,0,no
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
16,16,5,1,1,0,12.542316,12,6,0,0,0,0,no
43,43,9,1,1,0,197.269448,17,9,0,14,13,3,no
54,54,8,7,7,2,432.538013,113,105,2,13,10,11,no
26,26,1,6,6,5,242.4453,0,0,0,67,56,9,no
26,26,2,3,3,2,241.415687,133,132,1,44,42,11,no
6,6,0,1,1,0,0,0,0,0,0,0,0,no
20,20,1,6,6,2,193.949829,0,0,0,33,30,11,no
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
40,40,3,8,8,2,398.342516,107,103,0,11,8,13,no
2,2,0,1,1,0,0,0,0,0,0,0,0,no
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
28,28,5,4,4,2,193.132549,109,103,0,11,10,4,no
8,8,1,1,1,0,16.094379,1,1,0,26,26,5,no
6,6,0,1,1,0,0,0,0,0,0,0,0,no
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
44,44,2,7,7,2,578.981014,106,103,0,22,17,16,no
2,2,0,1,1,0,0,0,0,0,0,0,0,no
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
45,45,4,10,10,3,405.77674,109,105,0,21,15,17,no
3,3,0,1,1,0,0,0,0,0,0,0,0,no
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
281,281,46,30,30,2,2552.250935,642,607,16,320,182,57,no
138,138,10,33,33,6,2423.678677,113,105,0,19,8,35,no
79,79,1,19,19,1,979.668126,1,1,0,10,10,74,no
22,22,0,1,1,0,0,0,0,0,0,0,0,no
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
127,127,13,23,23,3,1862.750861,525,489,6,43,30,35,no
14,14,1,4,4,3,49.698133,0,0,0,19,11,3,no
30,30,1,2,2,1,241.215219,1,1,0,30,28,24,no
13,13,0,1,1,0,0,0,0,0,0,0,0,no
77,77,2,26,26,5,1031.403005,2,2,1,96,82,25,no
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
67,67,2,13,13,3,913.599677,106,103,0,16,8,21,no
2,2,0,1,1,0,0,0,0,0,0,0,0,no
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
141,141,3,16,16,3,1576.386936,108,105,0,43,36,30,no
15,15,0,1,1,0,0,0,0,0,0,0,0,no
6,6,0,1,1,0,0,0,0,0,0,0,0,no
5,5,0,2,2,1,18.714974,0,0,0,25,25,3,no
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
31,31,3,5,5,2,243.891928,107,103,0,7,6,7,no
2,2,0,1,1,0,0,0,0,0,0,0,0,no
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
31,31,5,5,5,2,185.201271,109,103,0,13,11,9,no
30,30,0,4,4,2,271.103562,0,0,0,103,76,22,no
13,13,1,1,1,0,80.930409,9,9,0,26,23,5,no
4,4,0,1,1,0,0,0,0,0,0,0,0,no
47,47,4,5,5,1,563.331313,560,560,1,29,23,20,no
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
30,30,7,4,4,3,133.581958,13,7,0,22,19,7,no
293,293,6,55,55,5,4046.643973,112,106,2,114,71,69,no
36,36,1,4,4,3,222.555057,1,1,0,34,32,32,no
27,27,0,1,1,0,0,0,0,0,0,0,0,no
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
25,25,3,3,3,1,129.823783,107,103,0,3,3,2,no
2,2,0,1,1,0,0,0,0,0,0,0,0,no
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
18,18,5,1,1,0,32.303786,12,6,0,1,1,1,no
25,25,1,4,4,2,198.670454,2,2,0,13,11,11,no
21,21,6,1,1,0,29.81888,12,6,0,1,1,1,no
32,32,2,5,5,3,244.886211,3,3,0,33,25,11,no
154,154,12,31,31,3,1882.68105,117,109,4,269,226,59,no
20,20,0,1,1,0,0,0,0,0,0,0,0,no
33,33,1,4,4,1,266.962786,1,1,0,41,35,31,no
129,129,6,20,20,3,1258.131645,807,785,2,446,345,75,no
55,55,0,1,1,0,0,0,0,0,0,0,0,no
74,74,0,11,11,2,1035.559141,0,0,0,118,82,57,no
9,9,0,2,2,1,59.63776,0,0,0,25,25,8,no
3,3,0,1,1,0,4.394449,0,0,0,0,0,0,no
53,54,0,9,9,1,539.859175,0,0,0,95,70,35,no
34,34,6,3,3,1,146.137077,114,110,0,3,3,4,no
5,5,1,1,1,0,4.394449,0,0,0,2,2,1,no
41,41,1,11,11,3,346.64812,0,0,0,33,15,21,no
8,8,1,2,2,1,30.761144,1,1,0,0,0,0,no
33,33,0,1,1,0,0,0,0,0,0,0,0,no
69,69,0,13,13,4,773.385562,0,0,0,34,31,50,no
3,3,0,1,1,0,4.394449,0,0,0,0,0,0,no
32,32,3,3,3,1,288.465468,107,103,0,3,3,5,no
3,3,0,1,1,0,0,0,0,0,0,0,0,no
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
91,91,7,22,22,3,1102.038239,111,105,1,26,19,15,no
14,14,0,1,1,0,0,0,0,0,0,0,0,no
22,22,0,6,6,2,164.326374,0,0,0,25,25,5,no
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
31,31,2,7,7,1,263.666949,106,103,0,7,5,7,no
4,4,0,1,1,0,0,0,0,0,0,0,0,no
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
62,62,8,8,8,2,645.180643,113,105,1,21,13,22,no
14,14,1,4,4,3,49.698133,0,0,0,19,11,3,no
11,11,1,2,2,1,86.657606,1,1,0,11,10,10,no
3,3,0,1,1,0,0,0,0,0,0,0,0,no
64,64,3,16,16,3,768.842173,3,2,1,36,30,26,no
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
102,102,3,25,25,5,1819.975049,107,103,0,19,12,28,no
2,2,0,1,1,0,0,0,0,0,0,0,0,no
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
105,105,3,27,27,5,1878.007258,107,103,0,19,12,28,no
2,2,0,1,1,0,0,0,0,0,0,0,0,no
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
100,100,8,14,14,2,998.996674,111,104,2,49,46,17,no
25,25,1,1,1,0,75.890496,1,1,0,30,28,24,no
15,15,0,1,1,0,0,0,0,0,0,0,0,no
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
159,159,13,15,15,2,1202.223534,117,109,6,49,45,41,no
15,15,1,1,1,0,69.077553,1,1,0,33,31,15,no
21,21,0,1,1,0,0,0,0,0,0,0,0,no
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
183,183,7,35,35,3,2450.795458,112,105,0,18,10,55,no
14,14,1,2,2,1,59.325064,1,1,0,30,28,10,no
60,60,0,1,1,0,0,0,0,0,0,0,0,no
5,5,0,2,2,1,18.714974,0,0,0,25,25,3,no
3,3,0,1,1,0,4.394449,0,0,0,0,0,0,no
139,140,0,34,34,4,1740.081902,0,0,0,206,153,84,no
107,107,2,18,18,4,1393.853865,74,73,0,69,55,75,no
68,68,0,8,8,4,933.441762,0,0,0,168,115,40,no
59,59,3,9,9,2,533.570738,79,75,1,273,257,45,no
46,46,0,7,7,3,663.727576,0,0,0,51,24,40,no
119,119,0,42,42,3,1602.864201,0,0,0,171,154,86,no
481,481,14,84,84,8,7867.349206,15,11,6,137,70,239,no
587,587,28,91,91,4,8531.846132,5417,922,11,143,66,179,no
49,49,0,11,11,2,503.273681,0,0,0,106,78,34,no
14,14,1,2,2,1,62.330694,9,9,0,14,12,5,no
158,158,7,23,23,4,1741.752816,2,1,3,33,22,36,no
57,57,0,9,9,2,829.884875,0,0,0,111,84,49,no
121,121,0,27,27,4,1803.750067,0,0,0,188,130,78,no
91,91,2,16,16,3,1044.186773,73,72,1,115,107,75,no
72,72,0,13,13,1,1078.095422,0,0,0,68,41,46,no
120,120,0,21,21,4,1668.539985,0,0,0,32,19,73,no
4,4,0,1,1,0,13.621371,0,0,0,5,5,2,no
1267,1267,55,311,311,8,24796.438482,1395,723,27,274,158,352,no
48,48,0,8,8,2,661.26241,0,0,0,137,111,36,no
44,44,1,4,4,1,216.777882,9,9,0,10,9,29,no
367,367,13,61,61,5,6861.405383,17,7,4,84,45,279,no
80,80,0,13,13,4,642.879174,0,0,0,19,12,37,no
104,104,0,19,19,3,1350.965236,0,0,0,89,46,76,no
51,53,0,11,11,4,726.375652,0,0,0,102,75,54,no
71,71,0,11,11,3,892.39646,0,0,0,137,103,51,no
54,54,3,10,10,4,494.261178,73,72,2,135,116,31,no
59,59,0,11,11,3,714.797745,0,0,0,73,45,43,yes
151,151,13,21,21,2,1550.738536,1143,565,2,1127,1045,45,no
63,63,0,9,9,3,551.595244,0,0,0,96,78,28,no
29,29,0,3,3,2,214.275435,0,0,0,28,26,13,no
45,47,0,10,10,4,432.636478,0,0,0,28,15,31,no
374,374,17,53,53,3,5414.656463,2237,1464,7,134,88,74,no
94,94,7,18,18,3,1162.55682,564,560,3,38,26,30,no
21,21,0,1,1,0,87.829614,0,0,0,2,2,1,no
255,280,0,62,62,6,4131.828779,0,0,0,130,75,155,no
80,80,0,14,14,5,965.350391,0,0,0,142,99,38,no
100,100,2,13,13,3,1077.182074,73,72,1,159,147,79,no
49,49,0,7,7,1,789.444637,0,0,0,60,42,48,no
90,90,2,22,22,3,979.356541,73,72,1,164,148,48,no
96,96,0,20,20,7,1166.642577,0,0,0,146,109,53,no
239,239,3,36,36,3,3422.844148,79,75,1,184,143,210,no
72,72,0,12,12,4,890.316126,0,0,0,151,100,42,no
34,34,1,5,5,2,283.217112,9,9,0,38,32,22,no
40,40,0,4,4,3,579.662619,0,0,0,156,118,27,no
22,22,1,2,2,1,127.869942,9,9,0,35,30,14,no
4,4,0,1,1,0,6.931472,0,0,0,2,2,2,no
246,246,6,16,16,4,1222.905436,6,6,2,35,22,29,no
2,2,0,1,1,0,0,0,0,0,0,0,0,no
10,10,0,2,2,1,91.277608,0,0,0,4,4,4,no
3,3,0,1,1,0,0,0,0,0,0,0,0,no
10,10,3,1,1,0,5.545177,0,0,0,2,2,1,no
2,2,0,1,1,0,0,0,0,0,0,0,0,no
20,21,0,4,4,3,255.245052,0,0,0,17,12,17,no
3,3,0,1,1,0,0,0,0,0,0,0,0,no
19,19,6,1,1,0,63.337376,0,0,0,3,3,3,no
2,2,0,1,1,0,0,0,0,0,0,0,0,no
140,168,0,32,32,4,3076.160216,0,0,0,43,30,85,no
4,4,0,1,1,0,0,0,0,0,0,0,0,no
26,26,6,3,3,2,110.842094,0,0,0,3,3,4,no
2,2,0,1,1,0,0,0,0,0,0,0,0,no
143,170,0,29,29,4,3044.437755,0,0,0,41,30,82,no
4,4,0,1,1,0,0,0,0,0,0,0,0,no
36,36,6,6,6,5,246.845237,0,0,0,5,4,7,no
231,244,1,48,48,4,4217.389925,0,0,1,244,157,176,no
48,51,0,13,13,4,732.887677,0,0,0,63,42,39,no
9,9,0,3,3,1,33.570534,0,0,0,9,9,7,no
2190,2243,79,486,486,7,45910.014957,896,729,35,464,243,752,no
43,43,0,8,8,2,504.227073,0,0,0,62,38,35,no
192,192,0,46,46,7,3254.285369,0,0,0,71,40,144,no
360,360,0,75,75,8,6607.289727,0,0,0,233,131,134,no
405,405,13,80,80,6,5584.122715,383,242,7,358,263,264,no
59,59,0,9,9,3,731.963423,0,0,0,130,95,50,no
60,60,0,6,6,2,735.821208,0,0,0,289,229,45,no
263,263,3,22,22,3,3084.610172,83,73,0,85,66,151,no
35,35,0,3,3,1,404.265498,0,0,0,92,76,29,no
99,99,0,13,13,5,1361.676247,0,0,0,51,26,67,no
107,107,11,13,13,4,797.459304,14,5,0,51,18,20,no
153,153,0,27,27,6,2254.952956,0,0,0,144,119,56,no
124,124,6,5,5,3,1307.881469,7,4,0,27,22,63,no
163,163,2,45,45,6,2701.069528,0,0,0,165,129,52,no
81,81,1,18,18,3,939.237136,9,9,0,47,37,56,no
69,69,3,14,14,4,667.760188,556,556,2,1060,1031,34,no
14,14,0,1,1,0,0,0,0,0,0,0,0,no
352,352,1,63,63,4,5117.993812,1,1,1,114,62,115,no
4,4,0,1,1,0,0,0,0,0,0,0,0,no
10,10,1,3,3,2,72.259294,0,0,0,29,27,5,no
8,10,0,4,4,2,86.711153,0,0,0,6,5,4,no
3,3,0,1,1,0,4.394449,0,0,0,0,0,0,no
36,36,0,1,1,0,0,0,0,0,0,0,0,no
112,112,0,25,25,4,1305.843937,0,0,0,25,15,33,no
118,118,0,30,30,3,1857.028225,0,0,0,73,44,71,no
27,27,0,3,3,1,290.265034,0,0,0,47,34,22,no
6,6,0,1,1,0,0,0,0,0,0,0,0,no
291,299,3,78,78,6,5152.880994,3,2,0,84,64,141,no
28,28,0,3,3,1,332.652596,0,0,0,31,17,21,no
12,14,0,4,4,1,112.724499,0,0,0,7,6,9,no
3,3,0,1,1,0,4.394449,0,0,0,0,0,0,no
14,14,0,1,1,0,0,0,0,0,0,0,0,no
96,96,0,17,17,4,1399.688154,0,0,0,69,44,43,no
3,3,0,1,1,0,0,0,0,0,0,0,0,no
7,7,1,2,2,1,32.236191,0,0,0,27,26,3,no
7,9,0,3,3,1,56.428886,0,0,0,4,4,2,no
3,3,0,1,1,0,4.394449,0,0,0,0,0,0,no
14,14,0,1,1,0,0,0,0,0,0,0,0,no
193,197,0,36,36,3,3503.768309,0,0,0,113,67,105,no
3,3,0,1,1,0,0,0,0,0,0,0,0,no
7,7,1,2,2,1,32.236191,0,0,0,27,26,3,no
7,9,0,3,3,1,56.428886,0,0,0,4,4,2,no
3,3,0,1,1,0,4.394449,0,0,0,0,0,0,no
14,14,0,1,1,0,0,0,0,0,0,0,0,no
219,219,1,45,45,3,3198.239156,1,1,1,78,48,87,no
3,3,0,1,1,0,0,0,0,0,0,0,0,no
14,14,1,3,3,1,149.872441,0,0,0,46,41,8,no
8,10,0,4,4,2,74.859896,0,0,0,5,5,3,no
3,3,0,1,1,0,4.394449,0,0,0,0,0,0,no
14,14,0,1,1,0,0,0,0,0,0,0,0,no
105,105,0,29,29,4,1673.929197,0,0,0,49,38,30,no
45,45,0,10,10,2,576.881583,0,0,0,51,40,32,no
3,3,0,1,1,0,0,0,0,0,0,0,0,no
38,38,3,8,8,2,392.45531,2,2,0,41,36,22,no
7,11,0,4,4,2,71.254548,0,0,0,4,4,3,no
147,149,0,40,40,7,3025.596812,0,0,0,43,32,75,no
3,3,0,1,1,0,4.394449,0,0,0,0,0,0,no
24,26,0,4,4,3,227.542276,0,0,0,25,13,14,no
28,28,0,5,5,2,274.767123,0,0,0,174,134,24,no
70,70,3,11,11,3,601.287351,82,72,1,116,110,51,no
52,52,0,7,7,5,576.582907,0,0,0,132,102,33,no
88,88,2,16,16,5,923.979024,10,10,0,48,37,75,no
79,79,0,18,18,4,1252.827654,0,0,0,66,43,35,no
130,130,0,22,22,4,1209.909562,0,0,0,46,26,48,no
64,76,0,13,13,3,829.79101,0,0,0,48,23,52,no
207,231,1,46,46,5,3839.02072,0,0,1,115,73,137,no
30,30,0,10,10,2,305.557237,0,0,0,19,14,19,no
74,74,1,16,16,4,729.974833,0,0,1,64,47,45,no
318,350,1,74,74,10,5732.324652,0,0,1,182,115,127,no
144,144,0,37,37,4,2209.849681,0,0,0,72,34,96,no
34,34,0,9,9,2,319.367198,0,0,0,30,26,19,no
135,135,0,16,16,2,1523.378756,0,0,0,99,64,75,no
243,243,4,49,49,5,2401.860403,38,36,3,52,36,34,no
26,26,0,1,1,0,0,0,0,0,0,0,0,no
47,47,0,1,1,0,0,0,0,0,0,0,0,no
40,40,1,7,7,2,233.667117,0,0,0,20,8,16,no
229,229,5,29,29,3,2870.683938,73,72,4,136,114,180,no
11,11,1,1,1,0,42.243413,9,9,0,9,9,4,no
31,31,0,7,7,1,159.910205,0,0,0,14,11,16,no
204,204,0,1,1,0,0,0,0,0,0,0,0,no
199,199,10,24,24,4,2182.773383,7,4,1,232,166,43,no
459,459,5,86,86,11,7734.910581,2,1,3,223,164,159,no
163,163,1,27,27,5,1839.639404,0,0,1,155,128,46,no
5,5,0,1,1,0,17.513191,0,0,0,0,0,0,no
7,7,0,2,2,1,38.366324,0,0,0,4,4,6,no
10,10,0,1,1,0,5.545177,0,0,0,0,0,0,no
16,16,0,1,1,0,5.545177,0,0,0,0,0,0,no
29,29,1,6,6,3,204.478418,0,0,0,13,8,11,no
4,4,0,1,1,0,0,0,0,0,0,0,0,no
27,27,4,4,4,1,122.284274,13,12,0,5,4,6,no
168,168,4,30,30,3,1735.97345,4,3,0,101,72,69,no
4,4,0,2,2,1,16.635532,0,0,0,25,25,2,no
4,4,0,1,1,0,12.542316,0,0,0,0,0,0,no
30,30,0,5,5,2,373.052924,0,0,0,153,119,30,no
38,38,1,3,3,2,361.913875,9,9,0,116,101,28,no
12,12,0,1,1,0,5.545177,0,0,0,0,0,0,no
22,22,0,1,1,0,5.545177,0,0,0,0,0,0,no
4,4,0,1,1,0,0,0,0,0,0,0,0,no
53,53,4,10,10,3,460.023599,25,23,0,69,51,23,no
90,90,4,17,17,3,760.622116,3,3,0,82,70,27,no
10,10,0,3,3,2,67.99712,0,0,0,44,40,9,no
4,4,0,1,1,0,12.542316,0,0,0,0,0,0,no
8,8,0,2,2,1,38.366324,0,0,0,7,5,8,no
2,2,0,1,1,0,3.295837,0,0,0,0,0,0,no
57,57,1,18,18,1,406.52895,0,0,0,7,6,35,no
46,46,0,1,1,0,0,0,0,0,0,0,0,no
372,372,9,101,101,6,5354.793825,6,5,5,125,93,148,no
52,52,0,4,4,2,468.856455,0,0,0,45,41,88,no
3,4,0,1,1,0,10.750557,0,0,0,0,0,0,no
113,113,9,11,11,2,559.41929,27,19,5,28,21,28,no
25,25,1,3,3,2,130.327814,0,0,0,13,6,16,no
11,11,0,1,1,0,0,0,0,0,0,0,0,no
192,192,5,36,36,5,2680.107359,8,8,4,79,56,65,no
13,13,0,4,4,3,120.721998,0,0,0,32,32,17,no
4,4,0,1,1,0,12.542316,0,0,0,0,0,0,no
12,12,0,2,2,1,77.632484,0,0,0,24,17,10,no
12,12,0,1,1,0,5.545177,0,0,0,0,0,0,no
20,20,0,1,1,0,0,0,0,0,0,0,0,no
139,139,11,35,35,5,1729.739832,53,32,1,122,98,56,no
36,36,2,4,4,3,298.649237,73,72,1,120,111,20,no
19,19,0,2,2,1,79.100085,0,0,0,25,25,22,no
3,3,0,1,1,0,8.04719,0,0,0,0,0,0,no
21,23,0,1,1,0,183.475922,0,0,0,69,56,28,no
47,47,0,1,1,0,0,0,0,0,0,0,0,no
344,344,11,81,81,10,5961.330341,5,5,10,61,35,103,no
43,43,3,2,2,1,52.18304,559,558,0,4,4,1,no
33,33,0,4,4,3,368.654244,0,0,0,32,29,61,no
4,4,0,1,1,0,12.542316,0,0,0,0,0,0,no
41,41,0,12,12,2,544.099363,0,0,0,58,40,29,no
142,142,0,33,33,8,2161.674362,0,0,0,119,73,91,no
9,9,0,2,2,1,50.142089,0,0,0,8,7,8,no
11,11,0,1,1,0,5.545177,0,0,0,0,0,0,no
42,42,1,15,15,2,369.874701,0,0,0,11,8,20,no
90,90,0,1,1,0,0,0,0,0,0,0,0,no
464,464,12,94,94,8,7006.758876,573,569,8,101,63,148,no
58,58,0,6,6,3,606.005956,0,0,0,48,48,95,no
71,71,6,12,12,2,773.385562,1132,562,1,1098,1055,28,no
3,3,0,1,1,0,8.04719,0,0,0,0,0,0,no
491,491,35,72,72,5,7333.983854,1212,611,21,1207,1080,112,no
41,41,0,1,1,0,5.545177,0,0,0,0,0,0,no
5,5,1,1,1,0,8.04719,0,0,0,0,0,0,no
43,43,0,8,8,3,469.442761,0,0,0,135,101,29,no
25,25,1,2,2,1,227.412744,9,9,0,35,29,24,no
19,19,0,1,1,0,0,0,0,0,0,0,0,no
73,73,11,13,13,1,519.045616,39,25,1,84,75,27,no
75,75,6,9,9,2,559.028954,1136,561,2,1043,1025,20,no
90,92,0,15,15,4,1226.171747,0,0,0,94,65,67,no
20,20,0,3,3,2,124.661387,0,0,0,44,40,23,no
26,26,0,4,4,1,315.94081,0,0,0,37,22,25,no
3,3,0,1,1,0,8.04719,0,0,0,0,0,0,no
27,27,0,4,4,2,298.799236,0,0,0,115,87,23,no
47,47,2,9,9,4,574.806036,73,72,1,178,159,29,no
19,19,0,1,1,0,5.545177,0,0,0,0,0,0,no
34,34,0,1,1,0,5.545177,0,0,0,0,0,0,no
12,12,1,3,3,1,58.224363,0,0,0,7,6,4,no
8,8,0,1,1,0,0,0,0,0,0,0,0,no
34,34,4,6,6,2,259.540408,25,23,0,55,51,14,no
154,154,6,36,36,3,1680.729785,3,3,0,92,62,52,no
10,10,0,4,4,3,95.863433,0,0,0,29,28,8,no
4,4,0,1,1,0,12.542316,0,0,0,0,0,0,no
29,29,0,5,5,2,385.01476,0,0,0,158,125,32,no
40,40,2,3,3,1,384.979971,74,73,0,63,52,28,no
25,25,0,1,1,0,8.04719,0,0,0,0,0,0,no
9,9,1,2,2,1,25.328436,0,0,0,3,3,2,no
130,130,5,36,36,4,1240.439844,35,22,3,85,66,37,no
13,13,0,1,1,0,0,0,0,0,0,0,0,no
34,34,2,8,8,3,287.983193,19,17,0,63,55,17,no
11,11,0,3,3,2,67.99712,0,0,0,44,40,9,no
3,3,0,1,1,0,8.04719,0,0,0,0,0,0,no
44,44,0,3,3,1,577.302583,0,0,0,48,23,35,no
32,32,0,1,1,0,5.545177,0,0,0,0,0,0,no
13,13,1,3,3,2,58.059261,0,0,0,10,8,5,no
47,47,0,6,6,3,576.881583,0,0,0,119,88,29,no
52,52,2,5,5,2,462.197493,73,72,1,109,96,43,no
177,178,1,28,28,4,2481.930406,0,0,1,39,25,43,no
30,30,0,1,1,0,0,0,0,0,0,0,0,no
85,86,9,14,14,3,967.104752,18,12,0,48,37,31,no
